time,activity,acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z
2463260252,2,9.759424,-2.7705708,-2.4324613,-1.3086634,0.19266315,0.19266315
2463260262,2,7.6717696,-3.67554,0.7876016,-1.3086634,0.19266315,0.19266315
2463260257,2,7.6717696,-3.67554,0.7876016,-1.4894793,-0.24715945,-0.24715945
2463260271,2,5.3447056,-4.4248934,3.5192683,-1.4894793,-0.24715945,-0.24715945
2463260266,2,5.3447056,-4.4248934,3.5192683,-1.5939372,-0.48478583,-0.48478583
2463260276,2,5.3447056,-4.4248934,3.5192683,-1.6464716,-0.48112065,-0.48112065
2463260281,2,3.4797027,-4.8318896,6.2844524,-1.6464716,-0.48112065,-0.48112065
2463260291,2,2.6728914,-4.8007665,8.862897,-1.6464716,-0.48112065,-0.48112065
2463260286,2,2.6728914,-4.8007665,8.862897,-1.5988241,-0.28320047,-0.28320047
2463260295,2,2.6728914,-4.8007665,8.862897,-1.3166046,-0.0034244251,-0.0034244251
2463260300,2,2.6752856,-4.1447835,9.621826,-1.3166046,-0.0034244251,-0.0034244251
2463260310,2,4.5522594,-2.7801468,6.66272,-1.3166046,-0.0034244251,-0.0034244251
2463260305,2,4.5522594,-2.7801468,6.66272,-0.80103475,0.33743808,0.33743808
2463260315,2,4.5522594,-2.7801468,6.66272,-0.32944724,0.6074403,0.6074403
2463260319,2,6.9583282,0.3034521,1.1802337,-0.32944724,0.6074403,0.6074403
2463260324,2,6.9583282,0.3034521,1.1802337,-0.36670998,0.6434813,0.6434813
2463260329,2,9.062741,5.5489225,-4.5751796,-0.36670998,0.6434813,0.6434813
2463260339,2,10.262184,9.46088,-8.324338,-0.36670998,0.6434813,0.6434813
2463260334,2,10.262184,9.46088,-8.324338,-1.0954716,0.4254026,0.4254026
2463260343,2,10.262184,9.46088,-8.324338,-2.511456,0.13402013,0.13402013
2463260348,2,11.107301,9.5973425,-8.50629,-2.511456,0.13402013,0.13402013
2463260353,2,11.107301,9.5973425,-8.50629,-4.5719028,-0.032135066,-0.032135066
2463260358,2,13.467883,6.846524,-2.1882632,-4.5719028,-0.032135066,-0.032135066
2463260363,2,13.467883,6.846524,-2.1882632,-6.8937993,-0.19340336,-0.19340336
2463260367,2,14.609868,1.5699304,12.111689,-6.8937993,-0.19340336,-0.19340336
2463260372,2,14.609868,1.5699304,12.111689,-8.6176605,-0.46218383,-0.46218383
2463260377,2,12.910058,-3.1488383,26.777937,-8.6176605,-0.46218383,-0.46218383
2463260382,2,12.910058,-3.1488383,26.777937,-9.141171,-0.754788,-0.754788
2463260387,2,9.309333,-5.3921094,36.842728,-9.141171,-0.754788,-0.754788
2463260392,2,9.309333,-5.3921094,36.842728,-8.302454,-0.9551516,-0.9551516
2463260396,2,5.876196,-4.9587774,40.151375,-8.302454,-0.9551516,-0.9551516
2463260401,2,5.876196,-4.9587774,40.151375,-6.4588637,-1.0162382,-1.0162382
2463260406,2,3.199593,-1.690832,38.640694,-6.4588637,-1.0162382,-1.0162382
2463260411,2,3.199593,-1.690832,38.640694,-4.1791167,-0.92949533,-0.92949533
2463260416,2,1.6601876,1.7231526,32.902042,-4.1791167,-0.92949533,-0.92949533
2463260420,2,1.6601876,1.7231526,32.902042,-2.095457,-0.7169144,-0.7169144
2463260425,2,2.5483983,4.095704,24.704649,-2.095457,-0.7169144,-0.7169144
2463260430,2,2.5483983,4.095704,24.704649,-0.6965769,-0.5501483,-0.5501483
2463260435,2,4.1692033,5.7643914,16.684418,-0.6965769,-0.5501483,-0.5501483
2463260440,2,4.1692033,5.7643914,16.684418,-0.046616856,-0.53915274,-0.53915274
2463260444,2,4.7198462,7.6724877,10.656077,-0.046616856,-0.53915274,-0.53915274
2463260449,2,4.7198462,7.6724877,10.656077,0.04623458,-0.5971849,-0.5971849
2463260454,2,4.6982994,9.073036,5.740992,0.04623458,-0.5971849,-0.5971849
2463260464,2,4.753363,10.061799,2.2049081,0.04623458,-0.5971849,-0.5971849
2463260459,2,4.753363,10.061799,2.2049081,-0.2903519,-0.6594931,-0.6594931
2463260473,2,4.8970094,10.272479,1.3334562,-0.2903519,-0.6594931,-0.6594931
2463260469,2,4.8970094,10.272479,1.3334562,-0.9800181,-0.73890555,-0.73890555
2463260478,2,4.8970094,10.272479,1.3334562,-1.8621068,-0.8849022,-0.8849022
